Session Start,Session End,Total Sleep Duration (hrs),Average HRV (ms),Date,Awake Duration (hrs),REM Duration (hrs),Core Duration (hrs),Deep Duration (hrs),Total Steps
2022-05-03 00:00:27-07:00,2022-05-03 07:23:27-07:00,7.383333333333334,49.14595,2022-05-03,,,,,17347.0
2022-05-03 23:54:26-07:00,2022-05-04 07:19:56-07:00,7.425,21.5133,2022-05-04,,,,,14964.0
2022-05-04 23:39:14-07:00,2022-05-05 07:20:44-07:00,7.691666666666666,36.24295,2022-05-05,,,,,10659.0
2022-05-05 22:35:36-07:00,2022-05-06 08:25:06-07:00,9.825,17.9532,2022-05-06,,,,,14875.0
2022-05-06 23:40:36-07:00,2022-05-07 06:27:06-07:00,6.775,65.71325,2022-05-07,,,,,7886.0
,,,,2022-05-08,,,,,9154.0
2022-05-09 00:04:49-07:00,2022-05-09 07:24:19-07:00,7.325,33.25425,2022-05-09,,,,,16000.0
2022-05-09 23:54:55-07:00,2022-05-10 07:23:25-07:00,7.475,45.94695,2022-05-10,,,,,22803.0
2022-05-11 00:54:51-07:00,2022-05-11 07:24:51-07:00,6.5,31.28035,2022-05-11,,,,,12478.0
2022-05-12 00:21:42-07:00,2022-05-12 06:56:12-07:00,6.575,39.80445,2022-05-12,,,,,15172.0
2022-05-13 00:33:00-07:00,2022-05-13 07:24:30-07:00,6.858333333333333,29.63205,2022-05-13,,,,,13261.0
2022-05-14 00:57:34-07:00,2022-05-14 06:41:04-07:00,5.725,43.50795,2022-05-14,,,,,13504.0
2022-05-15 02:59:38-07:00,2022-05-15 09:42:38-07:00,6.716666666666667,93.59325,2022-05-15,,,,,8789.0
2022-05-15 23:51:09-07:00,2022-05-16 07:26:09-07:00,7.583333333333333,70.4632,2022-05-16,,,,,18127.0
2022-05-17 00:40:40-07:00,2022-05-17 07:24:40-07:00,6.733333333333333,37.4048,2022-05-17,,,,,35143.0
,,,,2022-05-18,,,,,17027.0
2022-05-19 00:16:57-07:00,2022-05-19 07:26:27-07:00,7.158333333333333,37.2207,2022-05-19,,,,,13244.0
2022-05-20 00:28:19-07:00,2022-05-20 07:25:49-07:00,6.958333333333333,34.5514,2022-05-20,,,,,21871.0
2022-05-21 02:17:42-07:00,2022-05-21 09:59:12-07:00,7.691666666666666,41.2338,2022-05-21,,,,,2683.0
2022-05-21 22:26:43-07:00,2022-05-22 06:15:13-07:00,7.808333333333334,39.03575,2022-05-22,,,,,3475.0
2022-05-23 00:44:32-07:00,2022-05-23 08:26:32-07:00,7.7,40.4747,2022-05-23,,,,,11457.0
2022-05-23 23:23:06-07:00,2022-05-24 07:25:06-07:00,8.033333333333333,75.4255,2022-05-24,,,,,4452.0
