Session Start,Session End,Total Sleep Duration (hrs),Average HRV (ms),Date,Awake Duration (hrs),REM Duration (hrs),Core Duration (hrs),Deep Duration (hrs),Total Steps,Total Standing Hours,Total Basal Energy Burned (kcal),Total Active Energy Burned (kcal),Total Exercise Minutes
2022-03-10 00:46:05-07:00,2022-03-10 06:16:35-07:00,5.508333333333334,39.88735,2022-03-10,,,,,22199.0,17.0,1644.9319999999975,479.76500000000004,8.0
,,,,2022-03-11,,,,,19263.0,15.0,1509.4309999999978,416.1710000000003,23.0
2022-03-11 23:50:26-07:00,2022-03-12 07:46:26-07:00,7.933333333333334,37.81995,2022-03-12,,,,,16514.0,15.0,1597.609999999997,361.635,7.0
2022-03-13 03:02:01-07:00,2022-03-13 09:59:31-07:00,6.958333333333333,108.55005,2022-03-13,,,,,1129.0,1.0,1488.1119999999996,55.57699999999997,1.0
2022-03-13 23:09:58-07:00,2022-03-14 07:25:58-07:00,8.266666666666667,64.4447,2022-03-14,,,,,16419.0,11.0,1566.5630000000078,500.43399999999974,76.0
2022-03-15 00:51:17-07:00,2022-03-15 08:59:47-07:00,8.141666666666667,,2022-03-15,,,,,15328.0,9.0,1551.802999999995,279.523,28.0
2022-03-16 00:05:50-07:00,2022-03-16 07:29:50-07:00,7.4,38.9602,2022-03-16,,,,,23068.0,12.0,1578.895999999999,722.97,78.0
2022-03-17 01:44:41-07:00,2022-03-17 07:22:11-07:00,5.625,38.3354,2022-03-17,,,,,10988.0,12.0,1552.281999999999,274.44199999999995,9.0
2022-03-17 23:15:04-07:00,2022-03-18 07:08:04-07:00,7.883333333333334,58.85375,2022-03-18,,,,,14409.0,12.0,1561.9299999999973,315.1480000000001,13.0
2022-03-19 00:10:50-07:00,2022-03-19 07:15:20-07:00,7.075,48.3745,2022-03-19,,,,,20816.0,16.0,1571.0649999999994,338.6149999999997,17.0
2022-03-20 00:38:36-07:00,2022-03-20 08:42:36-07:00,8.066666666666666,40.2652,2022-03-20,,,,,8918.0,12.0,1542.2859999999987,232.49499999999992,8.0
2022-03-21 00:03:26-07:00,2022-03-21 07:22:56-07:00,7.325,44.1395,2022-03-21,,,,,20534.0,15.0,1578.4879999999969,530.4149999999998,39.0
2022-03-22 00:04:11-07:00,2022-03-22 07:14:41-07:00,7.175,54.953599999999994,2022-03-22,,,,,12236.0,12.0,1543.7919999999979,267.03399999999993,12.0
2022-03-22 23:57:33-07:00,2022-03-23 06:55:03-07:00,6.958333333333333,43.315250000000006,2022-03-23,,,,,12079.0,14.0,1590.6389999999965,345.82300000000004,15.0
2022-03-24 01:37:40-07:00,2022-03-24 05:54:10-07:00,4.275,67.8196,2022-03-24,,,,,42777.0,18.0,1594.8549999999984,741.6899999999997,52.0
2022-03-25 01:57:08-07:00,2022-03-25 06:45:38-07:00,4.808333333333334,46.6619,2022-03-25,,,,,24996.0,19.0,1601.3679999999977,561.2779999999999,22.0
2022-03-26 01:39:22-07:00,2022-03-26 06:13:52-07:00,4.575,49.2565,2022-03-26,,,,,28778.0,18.0,1593.6019999999971,632.4909999999982,52.0
,,,,2022-03-27,,,,,5936.0,8.0,1554.4649999999995,183.57199999999978,8.0
2022-03-27 22:39:42-07:00,2022-03-28 06:48:42-07:00,8.15,35.4097,2022-03-28,,,,,8037.0,8.0,1557.5009999999977,236.92599999999985,9.0
2022-03-28 23:54:54-07:00,2022-03-29 07:11:24-07:00,7.275,56.1198,2022-03-29,,,,,17105.0,13.0,1574.8219999999974,517.2699999999998,64.0
2022-03-30 00:04:46-07:00,2022-03-30 07:21:46-07:00,7.283333333333333,35.1787,2022-03-30,,,,,20446.0,14.0,1565.2499999999961,610.3999999999997,76.0
2022-03-30 23:57:57-07:00,2022-03-31 07:27:27-07:00,7.491666666666666,46.89665,2022-03-31,,,,,19420.0,12.0,1582.9949999999988,538.0750000000002,67.0
2022-04-01 00:50:17-07:00,2022-04-01 06:53:17-07:00,6.05,45.62705,2022-04-01,,,,,27946.0,15.0,1578.4159999999974,716.4849999999999,91.0
2022-04-02 01:46:56-07:00,2022-04-02 09:29:26-07:00,7.708333333333333,49.5994,2022-04-02,,,,,2066.0,1.0,1552.7079999999994,41.083999999999996,2.0
2022-04-03 04:07:38-07:00,2022-04-03 09:22:08-07:00,5.241666666666666,58.8631,2022-04-03,,,,,5911.0,4.0,1531.8189999999972,339.37199999999996,64.0
2022-04-04 02:41:03-07:00,2022-04-04 10:16:33-07:00,7.591666666666667,52.122299999999996,2022-04-04,,,,,753.0,,1468.3820000000005,14.871000000000002,
2022-04-05 02:00:29-07:00,2022-04-05 09:24:59-07:00,7.408333333333333,48.81385,2022-04-05,,,,,12985.0,14.0,1577.9980000000012,325.66999999999996,11.0
2022-04-06 01:19:26-07:00,2022-04-06 06:44:56-07:00,5.425,47.0258,2022-04-06,,,,,26159.0,15.0,1591.7149999999956,1381.1170000000002,251.0
2022-04-06 23:07:05-07:00,2022-04-07 06:47:05-07:00,7.666666666666667,44.7374,2022-04-07,,,,,19625.0,11.0,1580.519,1060.2009999999998,271.0
2022-04-08 01:00:13-07:00,2022-04-08 09:08:43-07:00,8.141666666666667,63.32385,2022-04-08,,,,,12240.0,12.0,1581.3839999999989,291.8800000000005,9.0
,,,,2022-04-09,,,,,10528.0,,1508.2609999999995,0.92,1.0
2022-04-10 04:20:29-07:00,2022-04-10 09:55:59-07:00,5.591666666666667,47.8999,2022-04-10,,,,,8805.0,6.0,1518.5879999999993,563.408,97.0
2022-04-11 00:08:15-07:00,2022-04-11 07:24:45-07:00,7.275,40.625699999999995,2022-04-11,,,,,21642.0,12.0,1569.779999999997,591.1190000000001,76.0
2022-04-12 01:19:40-07:00,2022-04-12 07:21:40-07:00,6.033333333333333,52.565,2022-04-12,,,,,19891.0,12.0,1572.3259999999977,632.6039999999999,64.0
2022-04-12 23:56:44-07:00,2022-04-13 06:51:14-07:00,6.908333333333333,49.5655,2022-04-13,,,,,18132.0,15.0,1581.4759999999947,446.280000000001,31.0
2022-04-14 00:29:40-07:00,2022-04-14 07:22:10-07:00,6.875,28.337600000000002,2022-04-14,,,,,10130.0,14.0,1564.2060000000006,304.29999999999995,12.0
2022-04-14 23:48:32-07:00,2022-04-15 07:28:02-07:00,7.658333333333333,44.9337,2022-04-15,,,,,19003.0,15.0,1640.1559999999984,397.3280000000003,13.0
2022-04-16 02:12:20-07:00,2022-04-16 09:24:50-07:00,7.208333333333333,48.422,2022-04-16,,,,,12840.0,9.0,1545.190999999998,792.6390000000005,64.0
2022-04-17 03:05:40-07:00,2022-04-17 10:49:40-07:00,7.733333333333333,79.80115,2022-04-17,,,,,1967.0,2.0,1467.2809999999995,17.250000000000004,1.0
2022-04-18 00:10:38-07:00,2022-04-18 07:28:38-07:00,7.3,54.102199999999996,2022-04-18,,,,,13389.0,11.0,1564.493999999999,1126.6619999999998,58.0
2022-04-18 23:54:24-07:00,2022-04-19 07:29:54-07:00,7.591666666666667,29.5276,2022-04-19,,,,,10287.0,12.0,1557.0869999999995,1005.8659999999998,70.0
2022-04-20 00:55:59-07:00,2022-04-20 07:15:29-07:00,6.325,33.8401,2022-04-20,,,,,11687.0,15.0,1605.6330000000012,1084.5650000000007,83.0
2022-04-20 23:59:18-07:00,2022-04-21 07:36:18-07:00,7.616666666666666,96.31365,2022-04-21,,,,,11131.0,13.0,1573.3230000000037,1194.076,128.0
2022-04-22 00:02:40-07:00,2022-04-22 07:22:10-07:00,7.325,37.0323,2022-04-22,,,,,18096.0,17.0,1686.8249999999987,456.48900000000003,20.0
,,,,2022-04-23,,,,,37494.0,16.0,1590.5039999999963,640.9089999999986,46.0
2022-04-24 01:13:44-07:00,2022-04-24 09:25:14-07:00,8.191666666666666,60.074250000000006,2022-04-24,,,,,28159.0,12.0,1632.2959999999953,512.9970000000001,55.0
2022-04-25 01:50:38-07:00,2022-04-25 07:28:38-07:00,5.633333333333334,47.6305,2022-04-25,,,,,20735.0,15.0,1588.1849999999963,525.1930000000009,42.0
2022-04-25 23:54:20-07:00,2022-04-26 07:15:50-07:00,7.358333333333333,40.9233,2022-04-26,,,,,11921.0,10.0,1610.6279999999997,288.6810000000002,12.0
,,,,2022-04-27,,,,,11999.0,12.0,1563.5989999999988,261.6980000000007,14.0
2022-04-28 00:37:31-07:00,2022-04-28 07:23:31-07:00,6.766666666666667,44.89375,2022-04-28,,,,,14368.0,14.0,1608.2879999999989,1383.7430000000006,110.0
2022-04-29 00:14:59-07:00,2022-04-29 08:19:29-07:00,8.075,41.13305,2022-04-29,,,,,15923.0,15.0,1615.7069999999983,347.3390000000002,14.0
2022-04-30 01:08:16-07:00,2022-04-30 10:24:46-07:00,9.275,74.24853333333333,2022-04-30,,,,,12746.0,9.0,1551.1379999999988,2559.1289999999995,222.0
2022-05-01 02:36:28-07:00,2022-05-01 10:19:28-07:00,7.716666666666667,70.38,2022-05-01,,,,,2147.0,5.0,1562.8690000000006,72.22699999999998,
